taxon_id,common_name,scientific_name,image_url,year,month,count
8575,Australian Magpie,Gymnorhina tibicen,https://static.inaturalist.org/photos/50123912/medium.jpg,2024,4,4901
980095,Rainbow Lorikeet,Trichoglossus moluccanus,https://static.inaturalist.org/photos/276466804/medium.jpg,2024,4,3162
2413,Laughing Kookaburra,Dacelo novaeguineae,https://inaturalist-open-data.s3.amazonaws.com/photos/26389611/medium.jpeg,2024,4,3004
42983,Koala,Phascolarctos cinereus,https://inaturalist-open-data.s3.amazonaws.com/photos/446727684/medium.jpeg,2024,4,2731
3740,Australian Ibis,Threskiornis molucca,https://inaturalist-open-data.s3.amazonaws.com/photos/101675446/medium.jpeg,2024,4,2643
12065,Superb Fairywren,Malurus cyaneus,https://static.inaturalist.org/photos/99161435/medium.jpg,2024,4,2541
47219,Western Honey Bee,Apis mellifera,https://static.inaturalist.org/photos/2369526/medium.jpg,2024,4,2513
8583,Magpie-lark,Grallina cyanoleuca,https://inaturalist-open-data.s3.amazonaws.com/photos/50128870/medium.jpg,2024,4,2488
12231,Noisy Miner,Manorina melanocephala,https://inaturalist-open-data.s3.amazonaws.com/photos/68867/medium.jpg,2024,4,2442
4936,White-faced Heron,Egretta novaehollandiae,https://inaturalist-open-data.s3.amazonaws.com/photos/463499188/medium.jpg,2024,4,2437
6987,Pacific Black Duck,Anas superciliosa,https://inaturalist-open-data.s3.amazonaws.com/photos/84477371/medium.jpeg,2024,4,2408
370351,Little Pied Cormorant,Microcarbo melanoleucos,https://inaturalist-open-data.s3.amazonaws.com/photos/48348837/medium.jpg,2024,4,2380
8143,Willie Wagtail,Rhipidura leucophrys,https://inaturalist-open-data.s3.amazonaws.com/photos/50151413/medium.jpg,2024,4,2152
357,Dusky Moorhen,Gallinula tenebrosa,https://inaturalist-open-data.s3.amazonaws.com/photos/417900601/medium.jpg,2024,4,2149
7176,Australian Wood Duck,Chenonetta jubata,https://inaturalist-open-data.s3.amazonaws.com/photos/50130632/medium.jpg,2024,4,2139
18921,Crimson Rosella,Platycercus elegans,https://inaturalist-open-data.s3.amazonaws.com/photos/13295378/medium.jpg,2024,4,2131
418530,Australasian Swamphen,Porphyrio melanotus,https://static.inaturalist.org/photos/430954297/medium.jpg,2024,4,2086
144737,Grey Fantail,Rhipidura albiscapa,https://static.inaturalist.org/photos/6696482/medium.jpg,2024,4,2069
42888,Eastern Grey Kangaroo,Macropus giganteus,https://inaturalist-open-data.s3.amazonaws.com/photos/53221252/medium.jpg,2024,4,2063
149448,Common Brown,Heteronympha merope,https://inaturalist-open-data.s3.amazonaws.com/photos/252874892/medium.jpeg,2024,4,2055
144560,Galah,Eolophus roseicapilla,https://inaturalist-open-data.s3.amazonaws.com/photos/147415773/medium.jpg,2024,4,2006
155166,ghost fungus,Omphalotus nidiformis,https://static.inaturalist.org/photos/128512207/medium.jpg,2024,4,1985
116834,Sulphur-crested Cockatoo,Cacatua galerita,https://inaturalist-open-data.s3.amazonaws.com/photos/247007913/medium.jpg,2024,4,1963
144507,Silver Gull,Chroicocephalus novaehollandiae,https://inaturalist-open-data.s3.amazonaws.com/photos/446195228/medium.jpg,2024,4,1936
3681,Crested Pigeon,Ocyphaps lophotes,https://inaturalist-open-data.s3.amazonaws.com/photos/53253035/medium.jpg,2024,4,1843
4872,Masked Lapwing,Vanellus miles,https://inaturalist-open-data.s3.amazonaws.com/photos/409064183/medium.jpg,2024,4,1825
4326,Australian Pelican,Pelecanus conspicillatus,https://inaturalist-open-data.s3.amazonaws.com/photos/7731086/medium.jpg,2024,4,1734
19721,Tawny Frogmouth,Podargus strigoides,https://inaturalist-open-data.s3.amazonaws.com/photos/31726985/medium.jpeg,2024,4,1730
6914,Black Swan,Cygnus atratus,https://inaturalist-open-data.s3.amazonaws.com/photos/464046604/medium.jpg,2024,4,1680
146186,Australian Water Dragon,Intellagama lesueurii,https://inaturalist-open-data.s3.amazonaws.com/photos/1888249/medium.jpg,2024,4,1679
904337,Australian Golden Orbweaver,Trichonephila edulis,https://inaturalist-open-data.s3.amazonaws.com/photos/25558/medium.jpg,2024,4,1650
482,Eurasian Coot,Fulica atra,https://inaturalist-open-data.s3.amazonaws.com/photos/123574818/medium.jpg,2024,4,1600
12632,New Holland Honeyeater,Phylidonyris novaehollandiae,https://static.inaturalist.org/photos/99152268/medium.jpg,2024,4,1580
197079,Meadow Argus,Junonia villida,https://inaturalist-open-data.s3.amazonaws.com/photos/253790958/medium.jpeg,2024,4,1570
42808,Common Brushtail Possum,Trichosurus vulpecula,https://inaturalist-open-data.s3.amazonaws.com/photos/30573113/medium.jpeg,2024,4,1508
12622,Red Wattlebird,Anthochaera carunculata,https://inaturalist-open-data.s3.amazonaws.com/photos/266746062/medium.jpg,2024,4,1494
506043,Golden Whistler,Pachycephala pectoralis,https://inaturalist-open-data.s3.amazonaws.com/photos/57385236/medium.jpeg,2024,4,1486
204497,Grey Butcherbird,Cracticus torquatus,https://static.inaturalist.org/photos/5223269/medium.jpg,2024,4,1475
42973,Swamp Wallaby,Wallabia bicolor,https://inaturalist-open-data.s3.amazonaws.com/photos/19530522/medium.jpg,2024,4,1390
83196,Spectacular Rustgill,Gymnopilus junonius,https://inaturalist-open-data.s3.amazonaws.com/photos/29239766/medium.jpeg,2024,4,1373
11882,Welcome Swallow,Hirundo neoxena,https://inaturalist-open-data.s3.amazonaws.com/photos/53141530/medium.jpg,2024,4,1355
8423,Pied Currawong,Strepera graculina,https://inaturalist-open-data.s3.amazonaws.com/photos/309917343/medium.jpg,2024,4,1353
