year,CommonName,Subtype,CommonName_Extended,ScientificName,EPBCThreatStatus,taxon_class_ET,size_bucket,diet_top,foraging_top,activity_top,diet_diversity,foraging_diversity,activity_diversity,omnivore_flag,eats_insects,eats_fruit,eats_fish,can_fly,can_swim,nocturnal,is_crepuscular,is_cathemeral,aerial_forager,forages_aerial,ground_forager,forages_ground,wetland_user,forages_underwater,forages_water_surf,forages_canopy,forages_understory,specialist_flag,generalist_flag,is_marsupial,is_bat,habitat_alpine_subalpine,habitat_coastal_marine,habitat_desert_arid_zone,habitat_forest_woodland,habitat_grassland_floodplain_savanna,habitat_rainforest_tropical,habitat_unknown,top_diet_fish,top_diet_fruit,top_diet_invertebrates,top_diet_nectar,top_diet_other_plant,top_diet_scavenge,top_diet_seed,top_diet_vert_warm,top_diet_vertebrate_unknown
2022,Oystercatcher,Sooty,Sooty Oystercatcher,Haematopus fuliginosus,Present,Aves,Small,invertebrates,ground,non-nocturnal,1,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2022,Jacana,Comb-crested,Comb-crested Jacana,Irediparra gallinacea,Present,Aves,Small,invertebrates,water_surface,non-nocturnal,2,2,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2022,Eagle,Little,Little Eagle,Hieraaetus morphnoides,Present,Aves,Small,vert_warm,ground,non-nocturnal,2,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2022,Pademelon,Tasmanian,Tasmanian Pademelon,Thylogale billardierii,Present,Mammalia,Medium,other_plant,,nocturnal,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2022,Firetail,Diamond,Diamond Firetail,Stagonopleura guttata,Vulnerable,Aves,Small,seed,ground,non-nocturnal,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2022,Fruit-Dove,Wompoo,Wompoo Fruit-Dove,Ptilinopus magnificus,Present,Aves,Small,fruit,understory,non-nocturnal,1,3,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2022,Falcon,Peregrine,Peregrine Falcon,Falco peregrinus,Present,Aves,Small,vert_warm,ground,non-nocturnal,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2022,Grebe,Great Crested,Great Crested Grebe,Podiceps cristatus,Present,Aves,Small,fish,underwater,non-nocturnal,2,2,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2022,Kite,Square-tailed,Square-tailed Kite,Lophoictinia isura,Present,Aves,Small,vert_warm,understory,non-nocturnal,1,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2022,Pademelon,Red-legged,Red-legged Pademelon,Thylogale stigmatica,Present,Mammalia,Medium,other_plant,,nocturnal,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
